Dwelling Identifier,Unit No,Street No,Street Name,Dwelling Suburb,Dwelling Postcode,LGA,NumberOfBedrooms,Acquisition Date,Disposal Date,Assistance Type,Property Source,Targeted,Target Group,Has Nomination Rights,Nomination Rights -Name,Nomination Rights -ABN,Sublet to Name,Sublet to ABN,Sublet Date,Disability Modifications,Dwelling Type,Class,Condition Surveyed,Met standards,Smoke alarm tested,Smoke alarm tested and in working order,Overdue Reason,Availability Status,FaCS Program,NRAS Funded,MarketRent,Method for determining Market Rent (NRAS),Boarding units or room,Number of Tenancies at full capacity,Number Rooms Untenantable,Program,AssetType,Branch,full_address,lat,lon,google_maps_link
5296,8,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),2,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,,Unit,Class 1a,,,2024-02-14,2024-02-14,,Tenantable,COMPS1,No,400.0,Other,,,,Asset Ownership - Aff Lev FLAT,Leveraged Affordable,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
5297,9,10,Allfield Road,Woy Woy,2256,Central Coast (NSW),2,2012-08-24,,Affordable Housing,Owned,Yes,Over 55's,No,,,,,,,Unit,Class 1a,,,2023-09-11,2023-09-11,,Tenantable,COMPS1,No,295.0,Other,,,,Asset Ownership - Aff Lev FLAT,Leveraged Affordable,Operations Central Coast,"10 Allfield Road, Woy Woy, 2256, Australia",-33.4945301,151.3260275,"https://www.google.com/maps/search/?api=1&query=10+Allfield+Road,+Woy+Woy,+2256,+Australia"
5314,26,15-19,Wallace Street,Swansea,2281,Lake Macquarie,3,2011-12-19,,General Housing,Capital,No,,No,,,,,,,Townhouse,Class 1a,,,2023-11-27,2023-11-27,,Tenantable,,No,560.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Lake Macquarie,"15-19 Wallace Street, Swansea, 2281, Australia",-33.0915489,151.6341669,"https://www.google.com/maps/search/?api=1&query=15-19+Wallace+Street,+Swansea,+2281,+Australia"
5335,,5,Reef Way,Muswellbrook,2333,Muswellbrook,3,2011-12-20,,General Housing,Capital,No,,No,,,,,,Adaptable,House,Class 1a,,,,,,Untenantable,,No,400.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Upper Hunter,"5 Reef Way, Muswellbrook, 2333, Australia",-32.2755921,150.8768827,"https://www.google.com/maps/search/?api=1&query=5+Reef+Way,+Muswellbrook,+2333,+Australia"
5336,,5,Tarakan Ave,Muswellbrook,2333,Muswellbrook,3,2011-12-20,,General Housing,Capital,No,,No,,,,,,,House,Class 1a,,,2024-02-23,2024-02-23,,Tenantable,,No,400.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Upper Hunter,"5 Tarakan Ave, Muswellbrook, 2333, Australia",-32.2746064,150.8783715,"https://www.google.com/maps/search/?api=1&query=5+Tarakan+Ave,+Muswellbrook,+2333,+Australia"
5341,2,75,Abbott Street,Wallsend,2287,Newcastle,2,2012-02-17,,Affordable Housing,Owned,No,,No,,,,,,,Unit,Class 1a,,,2023-12-15,2023-12-15,,Tenantable,DE2,No,373.0,NRAS Compliance,,,,Compass Affordable Social Target Group Ex NRAS,Leveraged Social,Operations Newcastle,"75 Abbott Street, Wallsend, 2287, Australia",-32.9026869,151.6814802,"https://www.google.com/maps/search/?api=1&query=75+Abbott+Street,+Wallsend,+2287,+Australia"
5342,3,75,Abbott Street,Wallsend,2287,Newcastle,2,2012-02-17,,Affordable Housing,Owned,No,,No,,,,,,,Unit,Class 1a,,,2023-12-19,2023-12-19,,Tenantable,DE2,No,373.0,NRAS Compliance,,,,Compass Affordable Properties Ex NRAS programs,Leveraged Affordable,Operations Newcastle,"75 Abbott Street, Wallsend, 2287, Australia",-32.9026869,151.6814802,"https://www.google.com/maps/search/?api=1&query=75+Abbott+Street,+Wallsend,+2287,+Australia"
5343,32,75,Abbott Street,Wallsend,2287,Newcastle,2,2012-03-23,,Affordable Housing,Owned,No,,No,,,,,,Accessible,Unit,Class 1a,,,2023-10-12,2023-10-12,,Tenantable,DE2,No,364.0,NRAS Compliance,,,,Compass Affordable Social Target Group Ex NRAS,Leveraged Social,Operations Newcastle,"75 Abbott Street, Wallsend, 2287, Australia",-32.9026869,151.6814802,"https://www.google.com/maps/search/?api=1&query=75+Abbott+Street,+Wallsend,+2287,+Australia"
5347,1,24,Wentworth Street,Wallsend,2287,Newcastle,3,2012-05-31,,Affordable Housing,Owned,Yes,Women Only,Yes,Nova Women's Accomm & Support,52880952916,,,,,House,Class 1a,,,2024-03-28,2024-03-28,,Tenantable,Newcastle ARHP,No,396.0,NRAS Compliance,,,,Compass Affordable Social Target Group Ex NRAS,Leveraged Social,Operations Newcastle,"24 Wentworth Street, Wallsend, 2287, Australia",-32.8974432,151.6646416,"https://www.google.com/maps/search/?api=1&query=24+Wentworth+Street,+Wallsend,+2287,+Australia"
5348,2,24,Wentworth Street,Wallsend,2287,Newcastle,3,2012-05-31,,Affordable Housing,Owned,Yes,Women Only,Yes,Nova Women's Accomm & Support,52880952916,,,,Accessible,Duplex,Class 1a,,,2023-02-24,2023-02-24,,Tenantable,Newcastle ARHP,No,367.0,NRAS Compliance,,,,Compass Affordable Social Target Group Ex NRAS,Leveraged Social,Operations Newcastle,"24 Wentworth Street, Wallsend, 2287, Australia",-32.8974432,151.6646416,"https://www.google.com/maps/search/?api=1&query=24+Wentworth+Street,+Wallsend,+2287,+Australia"
5349,3,24,Wentworth Street,Wallsend,2287,Newcastle,3,2012-05-31,,Affordable Housing,Owned,Yes,Women Only,Yes,Nova Women's Accomm & Support,52880952916,,,,Accessible,Duplex,Class 1a,,,2023-01-30,2023-01-30,,Tenantable,Newcastle ARHP,No,372.0,NRAS Compliance,,,,Compass Affordable Social Target Group Ex NRAS,Leveraged Social,Operations Newcastle,"24 Wentworth Street, Wallsend, 2287, Australia",-32.8974432,151.6646416,"https://www.google.com/maps/search/?api=1&query=24+Wentworth+Street,+Wallsend,+2287,+Australia"
5356,106,738,Hunter Street,Newcastle,2300,Newcastle,2,2012-03-13,,Affordable Housing,Owned,No,,No,,,,,,Accessible,Unit,Class 1a,,,2024-07-15,2024-07-15,,Tenantable,DE2,No,413.0,NRAS Compliance,,,,Compass Affordable Social Target Group Ex NRAS,Leveraged Social,Operations Newcastle,"738 Hunter Street, Newcastle, 2300, Australia",-32.9270546,151.7719836,"https://www.google.com/maps/search/?api=1&query=738+Hunter+Street,+Newcastle,+2300,+Australia"
5359,,13,Gossimer Close,Killarney Vale,2261,Central Coast (NSW),3,2012-01-13,,General Housing,Capital,No,,No,,,,,,,House,Class 1a,,,2023-12-15,2023-12-15,,Tenantable,,No,600.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Central Coast,"13 Gossimer Close, Killarney Vale, 2261, Australia",-33.3688303,151.4569462,"https://www.google.com/maps/search/?api=1&query=13+Gossimer+Close,+Killarney+Vale,+2261,+Australia"
5372,4,24,Wentworth Street,Wallsend,2287,Newcastle,2,2012-05-31,,Affordable Housing,Owned,No,,No,,,,,,,House,Class 1a,,,2023-11-28,2023-11-28,,Tenantable,,No,310.0,NRAS Compliance,,,,Compass Affordable Social Target Group Ex NRAS,Leveraged Social,Operations Newcastle,"24 Wentworth Street, Wallsend, 2287, Australia",-32.8974432,151.6646416,"https://www.google.com/maps/search/?api=1&query=24+Wentworth+Street,+Wallsend,+2287,+Australia"
5384,,4,Tobruk Avenue,Muswellbrook,2333,Muswellbrook,3,2012-02-16,,General Housing,Capital,No,,No,,,,,,,House,Class 1a,,,2024-04-16,2024-04-16,,Tenantable,,No,400.0,Rent & Sales Report,,,,CHLP Capital,Capital-GSH,Operations Upper Hunter,"4 Tobruk Avenue, Muswellbrook, 2333, Australia",-32.2760276,150.8784652,"https://www.google.com/maps/search/?api=1&query=4+Tobruk+Avenue,+Muswellbrook,+2333,+Australia"
5441,,3,Taylor Street,Cardiff,2285,Lake Macquarie,3,2018-05-30,,General Housing,Leasehold,Yes,Supported Living,Yes,Flourish Australia,66001280628,,,,,House,Class 1a,,,2023-11-20,2023-11-20,,Tenantable,CHLP,No,500.0,Other,,,,CHLP Leasehold,Leasehold-GSH,Operations Lake Macquarie,"3 Taylor Street, Cardiff, 2285, Australia",-32.9366263,151.6576857,"https://www.google.com/maps/search/?api=1&query=3+Taylor+Street,+Cardiff,+2285,+Australia"
