full_address,lat,lon
"14 Gossimer Close, Killarney Vale, 2261, Australia",-33.3688303,151.4569462
"111 Wollombi Road, Muswellbrook, 2333, Australia",-32.2761483,150.8745421
"8 Jersey Pl, Muswellbrook, 2333, Australia",-32.2765009,150.8810529
"2 Rainbow Close, Killarney Vale, 2261, Australia",-33.3703528,151.4581718
"8 Avery Street, Killarney Vale, 2261, Australia",-33.3689761,151.4577236
"29-31 Edwin Street, Dubbo, 2830, Australia",-32.2385429,148.613003
"81 George St, East Maitland, 2323, Australia",-32.7491636,151.5908866
"11 Coral Street, Muswellbrook, 2333, Australia",-32.2755921,150.8768827
"5A Jonquil Court, Dubbo, 2830, Australia",-32.2699785,148.6240917
"5B Jonquil Court, Dubbo, 2830, Australia",-32.2699785,148.6240917
"6 Nambucca Cres, Blue Haven, 2262, Australia",-33.2116158,151.5067783
"6 Warringhi Street, Raymond Terrace, 2324, Australia",-32.76768305,151.7445037857881
"35 Zinfandel Circuit, Cessnock, 2325, Australia",-32.8299837,151.3280971
"10 Banksia Street, Canton Beach, 2263, Australia",-33.2731065,151.5486651
"188 Darby Street, Newcastle, 2300, Australia",-32.9389854,151.7647541
"1 Boulderwood Place, Dubbo, 2830, Australia",-32.2449284,148.5812838
"64 Cambronne Parade, Elermore Vale, 2287, Australia",-32.9166624,151.6796681
"49 Frederick Street, Merewether, 2291, Australia",-32.9492543,151.75576
"18 Woollybutt Way, Muswellbrook, 2333, Australia",-32.2830222,150.8975104
"5 Wilga Glen Close, Muswellbrook, 2333, Australia",,
"252 Old Pacific Highway, Swansea, 2281, Australia",-33.1002418,151.6277866
"1 Kembla Close, Toronto, 2283, Australia",-33.0242608,151.6001077
"33 Cowper Street, Wallsend, 2287, Australia",-32.9060338,151.6642789
"17 Kimian Avenue, Waratah, 2298, Australia",-32.8977175,151.7090302
"1C Quarrybylong Street, Cessnock, 2325, Australia",-32.8354815,151.3634529
"12 Menzies Way, Rutherford, 2320, Australia",-32.7083046,151.5395731
"15 Boxer Street, Gillieston Heights, 2321, Australia",-32.7567589,151.53836788785046
"9 Lachlan Ave, Singleton Heights, 2330, Australia",-32.5414177,151.1567397
"1 St Albans Way, Dubbo, 2830, Australia",-32.2561845,148.6458172
